userId,filmId,pref
81205,332,7
96345,332,7
111156,332,7
49111,335,10
25640,335,7
67581,335,7
118669,335,6
38108,335,5
12571,338,3
61120,338,2
107758,338,2
78869,340,1
51143,341,8
81390,341,8
68478,341,3
76111,341,3
115453,341,3
81552,342,7
4381,345,4
108496,345,4
68750,345,3
117744,345,3
16361,345,2
97736,348,1
35280,352,10
100117,352,10
101757,352,9
61798,352,8
69195,352,8
29914,354,2
90280,354,1
85433,355,6
47092,361,7
9,361,6
19318,367,3
95899,374,10
102295,374,6
15082,374,5
94425,374,5
13676,374,4
21279,378,10
24360,378,10
30877,378,10
48167,378,10
62856,378,10
74746,380,3
91496,380,1
141,381,10
92503,390,6
88449,390,3
51533,390,2
13573,394,10
18284,394,10
21146,394,10
21920,394,10
22601,394,10
52276,396,10
61630,396,10
65600,396,10
68519,396,10
89706,396,10
46122,401,6
107122,402,9
8266,402,3
46282,402,3
109029,402,3
4679,404,5
42602,404,5
45772,404,5
52785,404,5
72917,404,5
57676,408,6
113492,408,4
128890,409,7
8054,411,7
22236,411,6
31141,411,6
88664,411,6
116586,411,6
37405,414,8
124365,414,8
124781,414,7
38495,414,6
92623,416,10
22499,416,9
44862,416,2
76658,417,8
4667,417,6
251,417,2
130464,417,2
90306,422,8
50707,425,8
20674,425,5
108876,425,5
109123,425,5
37758,425,4
112639,426,3
124702,426,3
68243,437,10
69444,437,9
93285,440,10
111358,444,10
100641,444,8
48109,444,7
83318,444,7
103045,444,7
28622,447,10
125167,447,6
129440,447,4
76823,447,2
27761,449,1
58518,449,1
69269,449,1
84518,449,1
85175,449,1
1088,451,10
58529,451,10
47092,451,1
24233,453,5
50095,454,2
26015,455,10
2220,460,10
4906,460,10
7856,460,10
13162,460,10
17392,460,10
70422,461,1
10585,466,9
109023,466,9
121446,466,9
134656,466,9
7420,466,8
14479,472,10
68696,472,10
127227,472,8
33662,472,7
109747,472,7
115337,478,1
44953,480,10
77443,480,10
120139,480,4
65427,480,3
102915,480,3
61436,482,10
48674,482,3
127343,482,3
134472,483,10
121973,483,9
18818,483,8
23686,483,8
28267,483,8
669,484,10
4636,484,10
45876,484,10
50285,484,10
131792,484,5
127171,488,8
108318,488,6
74061,488,2
67217,492,8
109346,492,6
86487,492,5
60889,492,4
27824,492,3
82974,499,7
5624,499,2
2296,501,6
91906,501,6
134762,501,5
127516,503,10
10628,508,8
30850,508,3
74462,510,10
128748,510,10
79264,510,9
117167,510,9
131901,510,9
1289,512,2
5540,514,9
112797,514,8
452,514,7
12496,514,7
86254,514,7
95406,517,10
111932,517,5
35357,518,10
36551,519,4
112653,521,5
11030,524,5
127505,524,1
130029,528,3
122782,531,7
48919,534,8
110904,534,8
