filmId,mean,sum
1841,4.0,16
1852,10.0,10
1856,2.0,6
1857,5.0,50
1860,5.0,25
1861,2.0,2
1862,1.0,1
1866,2.8333333333333335,34
1867,1.0,2
1879,8.0,8
1882,7.5,90
1887,6.666666666666667,20
1892,10.0,30
1893,5.04,126
1895,10.0,30
1903,2.7777777777777777,25
1917,6.5,13
1924,5.0,5
1925,5.0,5
1931,9.972222222222221,359
1935,3.5,7
1937,5.0,5
1947,10.0,10
1948,3.6666666666666665,11
1953,6.5,13
1958,10.0,10
1959,3.0,3
1961,6.0,24
1963,3.0,3
1965,8.226415094339623,436
1967,6.166666666666667,111
1973,9.0,9
1974,8.0,40
1977,3.3,66
1978,7.490566037735849,397
1979,7.0,7
1983,6.0,90
1984,8.0,8
1987,10.0,10
1991,4.285714285714286,60
1999,6.25,25
2002,6.5,13
2005,1.0,1
2008,4.2,21
2010,7.454545454545454,82
2018,2.25,9
2019,3.375,27
2020,3.2222222222222223,29
2021,6.0,12
2022,2.0,18
2028,2.0,2
2030,5.0,20
2035,3.5,7
2038,6.0,24
2039,1.0,1
2046,8.375,67
2050,6.333333333333333,38
2051,10.0,70
2057,3.533333333333333,53
2058,6.0,30
2059,4.333333333333333,13
2065,7.0,7
2066,6.7272727272727275,74
2067,1.8181818181818181,20
2069,3.6,18
2074,5.5,11
2077,8.4,42
2078,5.0,10
2086,5.5,11
2090,8.0,24
2091,5.411764705882353,276
2093,5.25,21
2094,6.0,6
2099,6.32,158
2100,3.52,88
2103,8.11111111111111,73
2104,6.75,27
2106,5.0,10
2109,6.0,24
2111,8.084033613445378,962
2112,2.0,14
2114,10.0,10
2124,5.2,26
2127,7.658536585365853,1256
2130,4.555555555555555,41
2131,8.615384615384615,112
2132,7.0,21
2134,1.0,1
2135,2.5,5
2137,4.714285714285714,66
2145,7.5,75
2148,7.0,35
2149,5.5,11
2152,3.75,15
2155,2.0,2
2158,5.0,5
2159,1.0,1
2164,7.5,15
2166,6.333333333333333,19
2168,1.6923076923076923,22
2169,10.0,30
2172,6.444444444444445,58
2175,2.0,4
2176,8.0,24
2177,6.0,6
2182,1.0,3
2184,7.5,15
2189,6.5,13
2190,10.0,80
2192,4.333333333333333,13
2196,7.228571428571429,253
2200,8.40677966101695,496
2201,4.166666666666667,25
2204,4.777777777777778,43
2210,5.3,106
2211,8.875,639
2214,6.75,27
2216,2.0,2
2219,5.571428571428571,39
2221,2.25,9
2224,6.023255813953488,259
2228,10.0,10
2231,5.666666666666667,85
2233,7.0,70
2237,3.6315789473684212,69
2239,1.0,3
2240,5.833333333333333,70
2243,4.363636363636363,48
2245,7.0,28
2247,7.25,29
2250,1.0,6
2251,2.4,24
2254,2.259259259259259,61
2255,7.5,30
2257,1.0,4
2259,5.625,45
2261,6.0,6
2263,5.333333333333333,32
2265,10.0,10
2267,6.0,24
2279,7.5,15
2280,1.0,1
2281,1.0,1
2282,4.5,9
2283,6.5,13
2289,8.3,166
2292,5.5,11
2294,5.25,21
2296,2.6666666666666665,32
2300,8.333333333333334,25
2301,10.0,20
2304,10.0,30
2310,8.0,16
2311,8.0,40
2318,8.2,82
2322,7.115384615384615,185
2325,1.0,7
2330,1.75,14
2331,10.0,40
2337,5.75,23
2338,2.0,2
2344,2.2857142857142856,16
2345,2.857142857142857,20
2348,8.6,43
2352,1.5,6
2353,5.25,21
2355,5.0,10
2359,2.0,2
2366,6.5,39
2369,2.0,2
2373,2.75,11
2375,7.5,15
2376,3.3333333333333335,30
2382,6.25,25
2383,8.428571428571429,59
